CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book
712069008,Existing Customer,42,F,4,Uneducated,Married,Less than $40K,Blue,23
715996983,Existing Customer,47,M,4,Uneducated,Divorced,$80K - $120K,Blue,30
773466258,Existing Customer,48,F,4,High School,Married,$40K - $60K,Blue,42
798983508,Existing Customer,43,M,1,Graduate,Single,$80K - $120K,Silver,37
719117433,Existing Customer,41,M,4,High School,Unknown,$80K - $120K,Blue,36
716451183,Existing Customer,54,F,1,Uneducated,Married,$40K - $60K,Blue,44
718621608,Attrited Customer,54,F,2,High School,Married,Unknown,Blue,44
715085733,Existing Customer,61,M,0,Graduate,Married,$40K - $60K,Blue,52
788977833,Existing Customer,61,M,0,Uneducated,Married,$80K - $120K,Blue,48
720272958,Attrited Customer,48,M,2,High School,Married,$120K +,Blue,36
708421833,Existing Customer,45,F,4,Graduate,Single,Less than $40K,Blue,36
709173108,Attrited Customer,54,F,4,Graduate,Married,Unknown,Blue,40
709879458,Existing Customer,54,F,3,Doctorate,Married,Unknown,Blue,46
715120608,Existing Customer,44,M,3,Graduate,Single,$60K - $80K,Blue,37
770632758,Existing Customer,50,F,4,Doctorate,Single,Unknown,Blue,36
779078733,Existing Customer,55,M,2,Doctorate,Married,$60K - $80K,Blue,36
771742533,Existing Customer,48,M,2,Graduate,Unknown,$40K - $60K,Blue,36
720250158,Existing Customer,45,M,2,College,Single,$60K - $80K,Blue,33
716458983,Existing Customer,60,M,0,High School,Married,$40K - $60K,Blue,36
713747733,Existing Customer,55,M,2,High School,Married,$40K - $60K,Blue,47
712270158,Existing Customer,62,F,0,High School,Married,$40K - $60K,Blue,52
789562383,Existing Customer,38,F,1,High School,Unknown,Less than $40K,Blue,30
754897008,Existing Customer,46,M,3,High School,Single,$40K - $60K,Blue,39
819700533,Existing Customer,50,M,0,High School,Single,$120K +,Silver,45
712890408,Existing Customer,45,M,2,Uneducated,Married,$60K - $80K,Blue,36
720248208,Existing Customer,47,M,3,Post-Graduate,Divorced,$60K - $80K,Blue,37
779749908,Existing Customer,48,M,4,College,Married,$60K - $80K,Gold,33
717401883,Existing Customer,35,M,3,Uneducated,Married,$60K - $80K,Blue,22
721509558,Existing Customer,51,M,2,Graduate,Married,$120K +,Blue,42
710572458,Existing Customer,36,F,3,High School,Married,Unknown,Blue,24
714576183,Existing Customer,47,M,4,Graduate,Single,$80K - $120K,Blue,36
721425558,Existing Customer,52,M,2,Graduate,Single,$120K +,Blue,37
711109908,Existing Customer,43,F,4,Uneducated,Married,Less than $40K,Blue,36
715203108,Existing Customer,63,M,2,High School,Married,$40K - $60K,Blue,36
710027508,Existing Customer,61,M,0,Graduate,Married,$60K - $80K,Blue,54
787464408,Existing Customer,53,M,2,Uneducated,Single,$60K - $80K,Blue,40
783542133,Existing Customer,53,F,3,Graduate,Married,Less than $40K,Blue,47
708330858,Attrited Customer,57,M,3,Graduate,Married,$120K +,Blue,38
714426783,Existing Customer,38,F,2,Graduate,Single,Unknown,Blue,31
712701333,Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue,43
709494483,Existing Customer,63,F,0,Unknown,Married,Less than $40K,Blue,54
773373108,Existing Customer,49,F,4,High School,Married,Less than $40K,Blue,43
715812258,Existing Customer,45,M,2,High School,Married,$80K - $120K,Blue,34
778286433,Existing Customer,67,M,0,Graduate,Married,$40K - $60K,Blue,56
789270033,Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Silver,37
711569433,Existing Customer,51,F,2,Uneducated,Divorced,Less than $40K,Blue,38
720214833,Existing Customer,52,M,2,High School,Single,$80K - $120K,Silver,40
709346133,Existing Customer,55,F,2,Uneducated,Married,Unknown,Blue,35
788194458,Existing Customer,34,M,3,High School,Married,$60K - $80K,Blue,26
720779733,Existing Customer,56,M,1,Uneducated,Married,$120K +,Blue,36
717424458,Existing Customer,44,F,2,Post-Graduate,Married,Less than $40K,Blue,36
708820308,Existing Customer,47,M,3,Post-Graduate,Unknown,$80K - $120K,Blue,36
710558058,Existing Customer,46,F,3,Unknown,Married,Less than $40K,Blue,38
770590758,Existing Customer,43,F,3,Graduate,Single,$40K - $60K,Blue,29
718490658,Existing Customer,50,F,1,Graduate,Single,Less than $40K,Blue,36
711985833,Existing Customer,38,F,4,Uneducated,Single,Less than $40K,Blue,30
708967608,Existing Customer,53,F,1,Graduate,Single,Less than $40K,Blue,45
718505958,Existing Customer,43,M,5,Graduate,Divorced,$120K +,Silver,31
715024233,Existing Customer,53,M,1,High School,Married,$120K +,Blue,36
779249583,Existing Customer,56,F,1,Graduate,Married,Less than $40K,Blue,38
709278258,Attrited Customer,54,M,2,Unknown,Married,$40K - $60K,Blue,44
778928283,Existing Customer,57,F,3,High School,Married,Less than $40K,Blue,39
712299858,Existing Customer,62,M,1,High School,Married,Less than $40K,Blue,53
799224108,Existing Customer,46,F,4,Graduate,Single,Less than $40K,Blue,40
809976033,Existing Customer,49,M,2,Uneducated,Married,$60K - $80K,Blue,44
716203308,Existing Customer,52,M,3,Graduate,Single,$80K - $120K,Blue,42
714871683,Attrited Customer,58,M,1,Uneducated,Married,$40K - $60K,Blue,36
716139933,Existing Customer,54,M,0,High School,Married,$80K - $120K,Blue,36
716984658,Existing Customer,49,M,1,Graduate,Married,$120K +,Blue,39
713086008,Existing Customer,58,F,3,High School,Married,Less than $40K,Blue,47
713773458,Existing Customer,52,M,2,High School,Single,$60K - $80K,Blue,45
719242533,Existing Customer,41,M,5,High School,Married,$60K - $80K,Blue,33
772712658,Existing Customer,62,F,0,Uneducated,Married,Less than $40K,Blue,50
788868858,Existing Customer,54,M,2,Graduate,Married,Less than $40K,Blue,39
811898133,Existing Customer,40,F,3,High School,Divorced,Less than $40K,Blue,35
788808633,Existing Customer,43,M,3,Graduate,Married,$80K - $120K,Blue,26
779804208,Existing Customer,53,F,2,Graduate,Single,$40K - $60K,Blue,42
781391058,Existing Customer,55,M,1,Uneducated,Single,$40K - $60K,Blue,49
790134408,Existing Customer,46,M,4,Graduate,Single,$60K - $80K,Blue,39
788853258,Existing Customer,41,M,1,Uneducated,Married,$60K - $80K,Blue,25
711857733,Existing Customer,49,M,3,Uneducated,Single,$60K - $80K,Blue,32
822969858,Existing Customer,61,F,0,Graduate,Married,Unknown,Blue,56
719554758,Existing Customer,46,M,2,Uneducated,Married,$80K - $120K,Blue,38
711643458,Existing Customer,50,F,1,Uneducated,Married,Less than $40K,Blue,43
788830683,Existing Customer,40,M,2,Graduate,Single,$80K - $120K,Blue,24
